Tamanho da Matriz, P (Processos), P (Threads), Tempo (Processos), Tempo (Threads), Tempo (Sequencial)
100, 1250, 1250, 1001, 49, 11
200, 5000, 5000, 258, 246, 79
400, 20000, 20000, 254, 1171, 650
800, 80000, 80000, 444, 1210, 5295
1600, 320000, 320000, 1123, 1150, 37299
3200, 1280000, 1280000, 7601, 1718, 376495
3200, 320000, 320000, 7509, 2023, NULL
3200, 800000, 800000, 7717, 1921, NULL
3200, 1280000, 1280000, 7807, 1984, NULL
3200, 1760000, 1760000, 7838, 2042, NULL
3200, 2240000, 2240000, 7696, 1967, NULL
3200, 2720000, 2720000, 7564, 1998, NULL
3200, 3200000, 3200000, 7808, 1932, NULL
3200, 3680000, 3680000, 7872, 2021, NULL
3200, 4160000, 4160000, 7687, 2016, NULL
3200, 4640000, 4640000, 7620, 2007, NULL
3200, 5120000, 5120000, 7898, 1972, NULL
